61,10634757171903878,27058,-130,-110,178392,2700132,3054,-9332,-1892,4149,-8999,1339
61,10634762051865344,27058,-131,-113,153012,1831362,3276,-9168,-2280,5227,-8301,1936
61,10634766931828462,27058,-131,-112,165147,1967886,4006,-8981,-1812,5968,-7794,1902
61,10634771811790481,27055,-131,-111,132703,1385898,-3202,-9396,-1202,-7020,-6274,3368
61,10634776691753407,27056,-131,-110,108481,1179662,-4641,-8853,-254,-8797,-1042,4639
61,10634781571714582,27056,-133,-111,137775,1284369,-2155,-9733,789,-4609,-7339,4988
61,10634786451676729,27056,-132,-111,103287,818951,-712,-9375,3403,-1563,-647,9855
61,10634791331639376,27054,-130,-112,38671,1676961,-7459,-5947,2997,-2574,8968,3597
61,10634796211601490,27054,-130,-112,17168,1889405,-3002,-1591,9404,310,9454,3243
13,10634800573758157,25935,-5656,355,84839,1038216,-5546,4326,7107,-6656,7071,2386
61,10634801091564160,27053,-130,-112,43641,1703844,-4573,-1455,8772,-1342,8830,4495
13,10634805144713246,25935,-5656,354,68868,815632,-3988,6343,6621,-2330,9535,1906
61,10634805971526144,27055,-131,-117,74254,1663807,8265,-3865,-4091,8050,5755,1437
13,10634809715668328,25934,-5654,359,175382,2810722,-5734,5985,5593,-6376,7528,1632
61,10634810851488371,27052,-130,-112,35725,1658982,-5567,1481,8173,-2051,8957,3943
13,10634814286623128,25934,-5654,358,161353,2059039,-6065,4829,6315,-7332,6383,2343
61,10634815731450386,27051,-129,-110,53286,2038802,-4099,5779,7056,-1549,9291,3356
13,10634818857578550,25935,-5651,350,217607,3987217,-3962,9168,-490,-3833,9212,-660
61,10634820611412866,27051,-130,-109,41470,1514670,-8835,3467,3148,-3920,8662,3096
13,10634823428533770,25937,-5653,348,130446,1678260,-2602,9200,-2929,-1334,9605,-2439
61,10634825491374857,27051,-129,-108,28295,1559338,-1002,9609,2581,1300,9586,2530
13,10634827999488596,25936,-5653,347,160257,2105958,-4945,7515,-4365,-6458,6978,-3096
61,10634830371337102,27050,-129,-101,117825,1713417,-5553,54,8316,-7293,3078,6109
13,10634832570443750,25937,-5654,351,84991,611313,-2149,8502,-4804,5752,4835,-6597
61,10634835251299149,27049,-129,-101,114515,1545998,-5912,-543,8046,-7531,2004,6265
13,10634837141399106,25937,-5653,354,103811,987102,-2055,9713,-1192,3363,9182,-2092
61,10634840131261926,27049,-128,-98,159374,2313821,-4046,3401,8488,-4068,7421,5326
13,10634841712354939,25937,-5653,351,98041,699106,-2195,9244,-3118,3435,8231,-4522
